source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,ps1_id,g,r,i,z,g_err,r_err,i_err,z_err,kine_prob,main_seq,multiple,bright,ra2k,de2k
329809787041917696,32.66931242445101,0.03828685,36.46268195767878,0.040624928,2.3908396799137535,0.047423836,9.31448814383362,0.050708637,-12.38919848724257,0.07065279,1.0380852,15.798291,16.63408,14.894795,0.00052502574319,0.0047600149125844,0.0020040943049781,151750326693085847,16.9901008605957,15.8515996932983,15.2814998626709,15.0334997177124,0.0054089999757707,0.0055630002170801,0.0011239999439567,0.0018240000354126,0.8906666666666667,1,0,0,32.66926095033528,36.46273702077213
330064186544652160,30.262116566972047,0.06384063,35.63248850996543,0.06201029,2.3854128400162966,0.07362082,9.772438805671458,0.08536212,-10.898504076167498,0.088809356,1.0230806,16.75803,17.849266,15.713059,0.0009239204146856,0.0125540240926579,0.003689628574529,150750302620979610,18.2628002166748,16.9878005981445,16.1252994537354,15.7433996200562,0.0036329999566078,0.0030690000858157,0.0023680001031607,0.0036579999141395,0.611,1,0,0,30.262063128658166,35.63253694774952
330656887736027520,32.13312630362462,0.15327215,37.3549463764562,0.18813455,2.3654224649050604,0.19462278,9.26746820055477,0.21504799,-11.462479392711844,0.27302095,0.9833545,18.648996,19.960497,17.49079,0.0024815626729949,0.0580698712755683,0.0136550740536054,152820321331056583,19.9013996124268,19.1781005859375,17.9328002929688,17.3679008483887,3.9999998989515e-05,0.00987199973315,0.0047220000997185,0.006095000077039,0.6903333333333334,1,0,0,32.133074486803224,37.35499732079775
330848683795258624,30.38622612132936,0.20455323,37.44533888062167,0.15724039,2.2979944126837344,0.2481615,9.64249600479321,0.24671268,-11.430760293149152,0.24171086,1.0386028,18.406845,19.607449,17.232822,0.0022654831825169,0.0521386591342941,0.0127749252118064,152930303861735058,20.1639995574951,18.9087009429932,17.7105007171631,17.1574993133545,0.0266200006008148,0.0074249999597668,0.0055780000984668,0.0032959999516606,0.8196666666666667,1,0,0,30.386172142559683,37.44538968398847
330864042598854400,30.02243817092767,0.27362087,37.62765986213663,0.18502656,2.1959452528806778,0.2414993,9.351256925329068,0.31994608,-11.318558298910808,0.273358,1.0884289,18.59248,20.075588,17.426638,0.0025575698333695,0.0683906888476296,0.0136472916873032,153150300224133853,20.3668994903564,19.1259994506836,17.8946990966797,17.3449993133545,0.0163969993591309,0.0070859999395906,0.0052820001728832,0.0056159999221563,0.6953333333333334,1,0,0,30.022385694371604,37.62771016682856
330817175915885824,29.974376479342205,0.13392998,37.159460726412114,0.14165771,2.4391128601235637,0.1616608,9.634434962102116,0.19280776,-11.935382626776995,0.21339488,0.9300718,18.387869,19.882103,17.2396,0.0020392953348854,0.0534642703038152,0.0105893520107371,152590299743631998,20.1450996398926,18.9165992736816,17.6746997833252,17.1191997528076,0.0314889997243881,0.0073230001144111,0.0031640001107007,0.0037380000576376,0.9366666666666666,1,0,0,29.974322750327744,37.15951377254501
330992036920159872,31.206136590231605,0.06120233,38.309004637444666,0.05707717,2.3279854765636663,0.07720566,10.392996215877034,0.078004666,-11.975466171391336,0.076667674,1.0049773,16.684008,17.716036,15.675057,0.0008285371177087,0.0083862911465713,0.002766402663362,153970312061301446,18.0835990905762,16.8596992492676,16.0823993682861,15.7206001281738,0.0050429999828338,0.0027819999959319,0.0034719998948276,0.0016420000465586,0.998,1,0,0,31.206077723955353,38.30905786172404
342909845316110336,29.315808479237926,0.23349309,37.73702507708361,0.2040974,2.3900323248218083,0.3024281,9.887178996330588,0.2956985,-11.726258817476984,0.27796054,0.96694,18.299839,19.572878,17.15867,0.0024054134904232,0.0493013775938569,0.0120660556462808,153280293157795082,20.0529003143311,18.8036994934082,17.6014003753662,17.0755004882813,0.0261850003153086,0.0048870001919567,0.0046660001389682,0.0031689999159425,0.762,1,0,0,29.315752913377896,37.73707719377643
343154387869657600,29.135736213139737,0.033816066,38.37295789884793,0.034596603,2.349633029525372,0.039327353,9.777764830143344,0.04268428,-11.539890358855004,0.04765666,1.1284251,15.500922,16.269125,14.63893,0.0004488740717931,0.0036389267076997,0.0016971581031439,154040291357128208,16.5897998809814,15.5159997940063,15.0329999923706,14.7936000823975,0.0044490001164376,0.0039789997972548,0.0019680000841617,0.0023880000226199,1.0,1,0,0,29.13568078264264,38.37300918723648
343157785188237312,29.09916431044178,0.12588695,38.44241107549663,0.11483118,2.2319681030169787,0.13377982,10.536856291226062,0.1785724,-12.01566351251348,0.1686121,0.9210841,18.191034,19.688438,16.992947,0.0018088259669556,0.0452169234501609,0.0095399183680537,154130290991391545,20.069299697876,18.7768993377686,17.4783000946045,16.889799118042,0.0217000003904104,0.0087559996172785,0.0018479999853298,0.0049020000733435,0.8653333333333333,1,0,0,29.099104519192572,38.442464478430374
